openalex_id,doi,title,year,type,source,matched_terms,abstract_available
https://openalex.org/W2058543238,https://doi.org/10.3758/s13423-012-0333-8,"Augmented visual, auditory, haptic, and multimodal feedback in motor learning: A review",2012,review,Psychonomic Bulletin & Review,sonification|audification,no
https://openalex.org/W1518641734,https://doi.org/10.4086/toc.2012.v008a019,,2012,article,Theory of Computing,sonification,yes
https://openalex.org/W2945485796,https://doi.org/10.1126/science.aau9101,A radiative cooling structural material,2019,article,Science,sonification,yes
https://openalex.org/W2058556535,https://doi.org/10.1145/1805986.1806020,VizWiz,2010,article,,sonification,yes
https://openalex.org/W1990794351,https://doi.org/10.4314/ajtcam.v8i1.60483,"Extraction, Isolation And Characterization Of Bioactive Compounds From Plants’ Extracts",2010,article,African Journal of Traditional Complementary and Alternative Medicines,sonification,yes
https://openalex.org/W2119296764,https://doi.org/10.1093/clinchem/43.7.1209,Plasma malondialdehyde as biomarker for oxidative stress: reference interval and effects of life-style factors,1997,article,Clinical Chemistry,sonification,yes
https://openalex.org/W2079575346,https://doi.org/10.1093/cid/cis803,Diagnosis and Management of Prosthetic Joint Infection: Clinical Practice Guidelines by the Infectious Diseases Society of Americaa,2012,article,Clinical Infectious Diseases,sonification,yes
https://openalex.org/W2102848110,https://doi.org/10.1145/2702123.2702180,Opportunities and Challenges for Data Physicalization,2015,preprint,,sonification,yes
https://openalex.org/W3145017754,https://doi.org/10.1126/sciadv.abd7416,Deep learning model to predict complex stress and strain fields in hierarchical composites,2021,article,Science Advances,sonification,yes
https://openalex.org/W41523064,https://doi.org/10.1016/s0002-9440(10)63093-3,Measurement of Gene Expression in Archival Paraffin-Embedded Tissues,2004,article,American Journal Of Pathology,sonification,no
https://openalex.org/W2085375096,https://doi.org/10.1002/marc.200800754,Functionalized Graphenes and Thermoplastic Nanocomposites Based upon Expanded Graphite Oxide,2009,article,Macromolecular Rapid Communications,sonification,yes
https://openalex.org/W2086425527,https://doi.org/10.1016/j.watres.2005.05.022,A review of floc strength and breakage,2005,review,Water Research,sonification,no
https://openalex.org/W1992549159,https://doi.org/10.1016/0735-1097(89)90471-3,Arterial wall characteristics determined by intravascular ultrasound imaging: An in vitro study,1989,article,Journal of the American College of Cardiology,sonification,no
https://openalex.org/W2897574871,https://doi.org/10.3390/ijerph15102224,"A Review of the Processes, Parameters, and Optimization of Anaerobic Digestion",2018,review,International Journal of Environmental Research and Public Health,sonification,yes
https://openalex.org/W1989584643,https://doi.org/10.1021/ja00120a032,The Dendritic Box: Shape-Selective Liberation of Encapsulated Guests,1995,article,Journal of the American Chemical Society,sonification,yes
https://openalex.org/W2781500572,https://doi.org/10.1038/s41598-017-16232-5,Effect of rhythmic auditory cueing on parkinsonian gait: A systematic review and meta-analysis,2018,review,Scientific Reports,sonification,yes
https://openalex.org/W2689106072,https://doi.org/10.1016/s1474-4422(17)30168-0,Music-based interventions in neurological rehabilitation,2017,review,The Lancet Neurology,sonification,no
https://openalex.org/W3211766196,https://doi.org/10.1021/acsnano.1c08498,Exfoliation and Delamination of Ti<sub>3</sub>C<sub>2</sub>T<sub><i>x</i></sub> MXene Prepared <i>via</i> Molten Salt Etching Route,2021,article,ACS Nano,sonification,yes
https://openalex.org/W2157102136,https://doi.org/10.1186/1750-1326-7-42,Exosomal cell-to-cell transmission of alpha synuclein oligomers,2012,article,Molecular Neurodegeneration,sonification,yes
https://openalex.org/W88723889,https://doi.org/10.1002/j.1460-2075.1983.tb01514.x,Isolation of a laminin‐binding protein from muscle cell membranes,1983,article,The EMBO Journal,sonification,no
https://openalex.org/W2079815081,https://doi.org/10.1172/jci58642,A multimodal RAGE-specific inhibitor reduces amyloid β–mediated brain disorder in a mouse model of Alzheimer disease,2012,article,Journal of Clinical Investigation,sonification,yes
https://openalex.org/W2010266393,https://doi.org/10.1007/bf00409880,Thermotoga maritima sp. nov. represents a new genus of unique extremely thermophilic eubacteria growing up to 90�C,1986,article,Archives of Microbiology,sonification,no
https://openalex.org/W1904504745,https://doi.org/10.1109/tsipn.2015.2448520,Joint Optimization of Radio and Computational Resources for Multicell Mobile-Edge Computing,2015,article,IEEE Transactions on Signal and Information Processing over Networks,sonification,yes
https://openalex.org/W2070751667,https://doi.org/10.1073/pnas.0912157107,High molecular diversity of extraterrestrial organic matter in Murchison meteorite revealed 40 years after its fall,2010,article,Proceedings of the National Academy of Sciences,sonification,yes
https://openalex.org/W4248636029,https://doi.org/10.1787/9789264203709-en,Test No. 236: Fish Embryo Acute Toxicity (FET) Test,2013,book,OECD guidelines for the testing of chemicals. Section 2: Effects on biotic systems,sonification,yes
https://openalex.org/W1958876462,https://doi.org/10.1007/s12193-015-0182-7,A survey of assistive technologies and applications for blind users on mobile platforms: a review and foundation for research,2015,review,Journal on Multimodal User Interfaces,sonification|audification,yes
https://openalex.org/W1978094617,https://doi.org/10.1093/brain/awq386,Fumaric acid esters exert neuroprotective effects in neuroinflammation via activation of the Nrf2 antioxidant pathway,2011,article,Brain,sonification,yes
https://openalex.org/W3194428193,https://doi.org/10.1038/s41467-021-25048-x,Electrocatalytic upcycling of polyethylene terephthalate to commodity chemicals and H2 fuel,2021,article,Nature Communications,sonification,yes
https://openalex.org/W2780410574,https://doi.org/10.1007/s10533-017-0410-1,Calcium-mediated stabilisation of soil organic carbon,2017,article,Biogeochemistry,sonification,yes
https://openalex.org/W1582317529,https://doi.org/10.1002/j.1460-2075.1995.tb00201.x,A prokaryotic potassium ion channel with two predicted transmembrane segments from Streptomyces lividans.,1995,article,The EMBO Journal,sonification,no
https://openalex.org/W2108709856,https://doi.org/10.1172/jci117042,Long-term exposure of rat pancreatic islets to fatty acids inhibits glucose-induced insulin secretion and biosynthesis through a glucose fatty acid cycle.,1994,article,Journal of Clinical Investigation,sonification,yes
https://openalex.org/W2969790209,https://doi.org/10.3390/cancers11091235,Cancer Diagnosis Using Deep Learning: A Bibliographic Review,2019,review,Cancers,sonification,yes
https://openalex.org/W2237846741,https://doi.org/10.1038/ncomms9625,Reversible amorphization and the catalytically active state of crystalline Co3O4 during oxygen evolution,2015,article,Nature Communications,sonification,yes
https://openalex.org/W2066771684,https://doi.org/10.1373/clinchem.2005.052381,Multiplex Human Papillomavirus Serology Based on In Situ–Purified Glutathione S-Transferase Fusion Proteins,2005,article,Clinical Chemistry,sonification,yes
https://openalex.org/W4310460724,https://doi.org/10.1038/s41563-022-01384-1,Hierarchically structured bioinspired nanocomposites,2022,review,Nature Materials,sonification,no
https://openalex.org/W3012095940,https://doi.org/10.1136/gutjnl-2019-320105,A purified membrane protein from <i>Akkermansia muciniphila</i> or the pasteurised bacterium blunts colitis associated tumourigenesis by modulation of CD8 <sup>+</sup> T cells in mice,2020,article,Gut,sonification,yes
https://openalex.org/W114652413,https://doi.org/10.1002/j.1460-2075.1992.tb05305.x,"Influenza virus hemagglutinin with multibasic cleavage site is activated by furin, a subtilisin‐like endoprotease.",1992,article,The EMBO Journal,sonification,no
https://openalex.org/W2060389128,https://doi.org/10.1103/physreva.64.061802,Nonclassical radiation from diamond nanocrystals,2001,article,Physical Review A,sonification,yes
https://openalex.org/W2591746674,https://doi.org/10.1186/s12984-017-0229-y,Interactive wearable systems for upper body rehabilitation: a systematic review,2017,review,Journal of NeuroEngineering and Rehabilitation,sonification,yes
https://openalex.org/W2959442326,https://doi.org/10.1111/cgf.13686,Visualizing for the Non‐Visual: Enabling the Visually Impaired to Use Visualization,2019,article,Computer Graphics Forum,sonification|audification,yes
https://openalex.org/W2116738379,https://doi.org/10.2174/187221112800672949,Thermal Inkjet Printing in Tissue Engineering and Regenerative Medicine,2012,review,Recent Patents on Drug Delivery & Formulation,sonification,yes
