node_id,label,kind,in_corpus,modularity_class,year,cited_by_within_corpus,references_made,primary_topic,source,type,subfield,field,domain,doi
W2184854514,The Sonification Handbook,publication,True,6,2011.0,183,27,Hearing Loss and Rehabilitation,,book,Cognitive Neuroscience,Neuroscience,Life Sciences,
W9119819,An introduction to interactive sonification,publication,True,6,2005.0,19,4,Music Technology and Sound Studies,Journal of Biomechanics,article,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,https://doi.org/10.1016/s0021-9290(96)00147-9
W35899286,W35899286,reference_only,False,0,,3,0,,,,,,,
W1499933681,An introduction to auditory display,publication,True,1,1994.0,58,0,Tactile and Sensory Interactions,Medical Entomology and Zoology,article,Cognitive Neuroscience,Neuroscience,Life Sciences,
W1549940068,W1549940068,reference_only,False,1,,12,0,,,,,,,
W1565485882,W1565485882,reference_only,False,0,,2,0,,,,,,,
W1577214156,W1577214156,reference_only,False,0,,4,0,,,,,,,
W1577234506,W1577234506,reference_only,False,6,,4,0,,,,,,,
W1584263795,A comparision of audio & visual analysis of complex time-series data sets,publication,True,6,2005.0,6,11,Music Technology and Sound Studies,,article,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,
W1593337933,W1593337933,reference_only,False,6,,18,0,,,,,,,
W1596196963,Sonification for Exploratory Data Analysis,publication,True,6,2002.0,33,0,Music and Audio Processing,PUB – Publications at Bielefeld University (Bielefeld University),dissertation,Signal Processing,Computer Science,Physical Sciences,
W1599105370,W1599105370,reference_only,False,6,,9,0,,,,,,,
W1633004679,W1633004679,reference_only,False,6,,5,0,,,,,,,
W1837978202,W1837978202,reference_only,False,6,,9,0,,,,,,,
W1964538581,W1964538581,reference_only,False,1,,50,0,,,,,,,
W2030402194,W2030402194,reference_only,False,1,,6,0,,,,,,,
W2037001540,"Auditory Display: Sonification, Audification, and Auditory Interfaces",publication,True,19,1995.0,149,0,Music Technology and Sound Studies,Computer Music Journal,article,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,https://doi.org/10.2307/3680606
W2054745332,Data sonification: do you see what I hear?,publication,True,0,1995.0,5,5,Tactile and Sensory Interactions,IEEE Software,article,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1109/52.368264
W2059929791,W2059929791,reference_only,False,8,,5,0,,,,,,,
W2097327863,Finding Trading Patterns in Stock Market Data,publication,True,1,2004.0,9,11,Virtual Reality Applications and Impacts,IEEE Computer Graphics and Applications,article,Human-Computer Interaction,Computer Science,Physical Sciences,https://doi.org/10.1109/mcg.2004.28
W2116428736,W2116428736,reference_only,False,6,,2,0,,,,,,,
W2118320651,W2118320651,reference_only,False,0,,8,0,,,,,,,
W2122848099,Easy listening to sleep recordings: tools and examples,publication,True,0,2004.0,11,2,EEG and Brain-Computer Interfaces,Sleep Medicine,article,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1016/j.sleep.2004.07.010
W2482049660,Ecolological Psychoacoustics and Auditory Displays,publication,True,1,2004.0,5,68,Multisensory perception and integration,Elsevier eBooks,book-chapter,Experimental and Cognitive Psychology,Psychology,Social Sciences,https://doi.org/10.1016/b978-012515851-0/50007-2
W2556247670,W2556247670,reference_only,False,3,,2,0,,,,,,,
W2564720963,W2564720963,reference_only,False,6,,4,0,,,,,,,
W2913521326,Using sonification,publication,True,19,1999.0,55,10,Tactile and Sensory Interactions,Multimedia Systems,article,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1007/s005300050108
W3015699726,W3015699726,reference_only,False,6,,3,0,,,,,,,
