publication_id,reference_id
W2184854514,W9119819
W2184854514,W35899286
W2184854514,W627963485
W2184854514,W768552817
W2184854514,W1499933681
W2184854514,W1549940068
W2184854514,W1565485882
W2184854514,W1574930552
W2184854514,W1577214156
W2184854514,W1577234506
W2184854514,W1577805507
W2184854514,W1584263795
W2184854514,W1593337933
W2184854514,W1596196963
W2184854514,W1599105370
W2184854514,W1633004679
W2184854514,W1837978202
W2184854514,W1964538581
W2184854514,W2030402194
W2184854514,W2037001540
W2184854514,W2054745332
W2184854514,W2059929791
W2184854514,W2097327863
W2184854514,W2116428736
W2184854514,W2118320651
W2184854514,W2122848099
W2184854514,W2171414969
W2184854514,W2482049660
W2184854514,W2528253595
W2184854514,W2556247670
W2184854514,W2564720963
W2184854514,W2913521326
W2184854514,W3015699726
W2139598342,W50688157
W2139598342,W59450186
W2139598342,W1272508706
W2139598342,W2091784785
W2139598342,W2153314286
W2139598342,W2282832571
W1963987467,W158060719
W1963987467,W324445496
W1963987467,W624465380
W1963987467,W1508978536
W1963987467,W1552535042
W1963987467,W1594267175
W1963987467,W1763512962
W1963987467,W1965859210
W1963987467,W1966714841
W1963987467,W1969567973
W1963987467,W1969824733
W1963987467,W1970287153
W1963987467,W1977091951
W1963987467,W1985825333
W1963987467,W1989249702
W1963987467,W1990466880
W1963987467,W2000917789
W1963987467,W2001461756
W1963987467,W2003696225
W1963987467,W2003735335
W1963987467,W2007428019
W1963987467,W2010931158
W1963987467,W2014772587
W1963987467,W2016740912
W1963987467,W2018294866
W1963987467,W2021446056
W1963987467,W2028137763
W1963987467,W2032635843
W1963987467,W2035979817
W1963987467,W2036959900
W1963987467,W2048040670
W1963987467,W2060060293
W1963987467,W2060618445
W1963987467,W2061170062
W1963987467,W2062125470
W1963987467,W2071194636
W1963987467,W2071511860
W1963987467,W2075243918
W1963987467,W2083790891
W1963987467,W2084260707
W1963987467,W2085199634
W1963987467,W2086420066
W1963987467,W2087586617
W1963987467,W2092384978
W1963987467,W2093523631
W1963987467,W2097481326
W1963987467,W2098395732
W1963987467,W2102453924
W1963987467,W2103268304
W1963987467,W2105927585
W1963987467,W2110189908
W1963987467,W2110235231
W1963987467,W2111754927
W1963987467,W2120019338
W1963987467,W2129409783
W1963987467,W2134735178
W1963987467,W2137507212
W1963987467,W2138346266
W1963987467,W2140354221
W1963987467,W2146449656
W1963987467,W2146881061
W1963987467,W2147910317
W1963987467,W2163266267
W1963987467,W2163727435
W1963987467,W2170183406
W1963987467,W2497667219
W1963987467,W2596945568
W1963987467,W2771677576
W1963987467,W2883650166
W1963987467,W2912596165
W1963987467,W3015738550
W1963987467,W4313185796
W1963987467,W4388321702
W2017967298,W12181516
W2017967298,W1480195359
W2017967298,W1496245411
W2017967298,W1499158096
W2017967298,W1519073454
W2017967298,W1567005570
W2017967298,W1794929904
W2017967298,W1969071914
W2017967298,W1978967446
W2017967298,W1994277068
W2017967298,W1999261091
W2017967298,W2006144938
W2017967298,W2033278145
W2017967298,W2060234739
W2017967298,W2072813844
W2017967298,W2078990298
W2017967298,W2105974999
W2017967298,W2129901565
W2017967298,W2132791902
W2017967298,W2149819384
W2017967298,W2168989928
W2017967298,W2171137378
W2017967298,W2171834532
W2017967298,W3010566033
W2017967298,W4213129550
W2017967298,W4239633653
W2017967298,W4321509054
W2105118209,W72858213
W2105118209,W77612647
W2105118209,W1661994657
W2105118209,W1972170794
W2105118209,W1980561265
W2105118209,W1981231610
W2105118209,W2012487898
W2105118209,W2035010057
W2105118209,W2055659396
W2105118209,W2086919225
W2105118209,W2111197100
W2105118209,W2119395269
W2105118209,W2128940305
W2105118209,W2155635068
W2105118209,W2164243658
W2105118209,W3010796970
W2041121121,W5055321
W2041121121,W7250848
W2041121121,W9119819
W2041121121,W10282353
W2041121121,W12144851
W2041121121,W45011409
W2041121121,W51043520
W2041121121,W69473232
W2041121121,W81775368
W2041121121,W82006725
W2041121121,W123554387
W2041121121,W125391426
W2041121121,W130543029
W2041121121,W138213906
W2041121121,W139777397
W2041121121,W167948671
W2041121121,W187194956
W2041121121,W322246522
W2041121121,W354426099
W2041121121,W392012835
W2041121121,W778850012
W2041121121,W989926022
W2041121121,W1482297266
W2041121121,W1500008800
W2041121121,W1502818505
W2041121121,W1504321079
W2041121121,W1507811735
W2041121121,W1508978536
W2041121121,W1517677814
W2041121121,W1518770379
W2041121121,W1522070413
W2041121121,W1526642635
W2041121121,W1532335443
W2041121121,W1533878625
W2041121121,W1548228647
W2041121121,W1548659396
W2041121121,W1556530441
W2041121121,W1559415583
W2041121121,W1560144794
W2041121121,W1565485882
W2041121121,W1567878530
W2041121121,W1574709763
W2041121121,W1578069008
W2041121121,W1594450222
W2041121121,W1596589698
W2041121121,W1608651402
W2041121121,W1628342349
W2041121121,W1668941714
W2041121121,W1773282827
W2041121121,W1845062044
W2041121121,W1895567927
W2041121121,W1965695790
W2041121121,W1966146251
W2041121121,W1968258124
W2041121121,W1969155634
W2041121121,W1970028090
W2041121121,W1971713402
W2041121121,W1973495372
W2041121121,W1974170079
W2041121121,W1981060864
W2041121121,W1983218966
W2041121121,W1985326748
W2041121121,W1986365965
W2041121121,W1991849198
W2041121121,W1999517921
W2041121121,W2001461756
W2041121121,W2003840516
W2041121121,W2005732487
W2041121121,W2009198914
W2041121121,W2012109234
W2041121121,W2012297616
W2041121121,W2015833509
W2041121121,W2018072651
W2041121121,W2018311608
W2041121121,W2019065296
W2041121121,W2021446056
W2041121121,W2023683162
W2041121121,W2027078638
W2041121121,W2027740961
W2041121121,W2029747681
W2041121121,W2031404813
W2041121121,W2032337854
W2041121121,W2033190454
W2041121121,W2033823570
W2041121121,W2035676551
W2041121121,W2037001540
W2041121121,W2039011929
W2041121121,W2040020508
W2041121121,W2041336321
W2041121121,W2045094646
W2041121121,W2048443216
W2041121121,W2048548910
W2041121121,W2048681895
W2041121121,W2051903584
W2041121121,W2052270675
W2041121121,W2052698845
W2041121121,W2058543238
W2041121121,W2059075385
W2041121121,W2060205462
W2041121121,W2061655543
W2041121121,W2063051936
W2041121121,W2064678494
W2041121121,W2065038452
W2041121121,W2065932508
W2041121121,W2066179714
W2041121121,W2067083952
W2041121121,W2069430629
W2041121121,W2069882806
W2041121121,W2071097422
W2041121121,W2076691609
W2041121121,W2077288294
W2041121121,W2077424377
W2041121121,W2088955376
W2041121121,W2089441678
W2041121121,W2091784785
W2041121121,W2094759809
W2041121121,W2095929735
W2041121121,W2096046604
W2041121121,W2096191402
W2041121121,W2098395732
W2041121121,W2104391745
W2041121121,W2104617690
W2041121121,W2106317107
W2041121121,W2111473917
W2041121121,W2112984618
W2041121121,W2114095739
W2041121121,W2114683697
W2041121121,W2116326246
W2041121121,W2116570970
W2041121121,W2117820411
W2041121121,W2118847155
W2041121121,W2119480063
W2041121121,W2120080899
W2041121121,W2121915239
W2041121121,W2122191995
W2041121121,W2122790853
W2041121121,W2122920626
W2041121121,W2123900698
W2041121121,W2129488573
W2041121121,W2130228586
W2041121121,W2131735207
W2041121121,W2133564221
W2041121121,W2133940321
W2041121121,W2134314161
W2041121121,W2134649957
W2041121121,W2135386751
W2041121121,W2135715728
W2041121121,W2137526265
W2041121121,W2141817033
W2041121121,W2141830387
W2041121121,W2142544480
W2041121121,W2144487539
W2041121121,W2149658184
W2041121121,W2153288052
W2041121121,W2153314286
W2041121121,W2154033160
W2041121121,W2155142770
W2041121121,W2155360405
W2041121121,W2158611523
W2041121121,W2163232792
W2041121121,W2163827236
W2041121121,W2166597416
W2041121121,W2167950485
W2041121121,W2170699275
W2041121121,W2184854514
W2041121121,W2188171783
W2041121121,W2200446714
W2041121121,W2203289057
W2041121121,W2264164388
W2041121121,W2292300730
W2041121121,W2304903802
W2041121121,W2310208368
W2041121121,W2317919972
W2041121121,W2327778588
W2041121121,W2338290034
W2041121121,W2396671154
W2041121121,W2481522809
W2041121121,W2492014371
W2041121121,W2515848195
W2041121121,W2517375961
W2041121121,W2517409572
W2041121121,W2521024927
W2041121121,W2529743897
W2041121121,W2529751265
W2041121121,W2530638482
W2041121121,W2534259402
W2041121121,W2541561720
W2041121121,W2543680447
W2041121121,W2566129194
W2041121121,W2586400180
W2041121121,W2588247704
W2041121121,W2601346836
W2041121121,W2615482071
W2041121121,W2616477718
W2041121121,W2625150345
W2041121121,W2626418549
W2041121121,W2744890882
W2041121121,W2745662615
W2041121121,W2756207886
W2041121121,W2760932752
W2041121121,W2769302080
W2041121121,W2771677576
W2041121121,W2789518243
W2041121121,W2793652066
W2041121121,W2843137709
W2041121121,W2912649389
W2041121121,W2967626278
W2041121121,W3016333344
W2041121121,W3118386952
W2041121121,W3140504487
W2041121121,W3150321873
W2041121121,W3161651943
W2041121121,W4214921596
W2041121121,W4233780434
W2041121121,W4239603325
W2041121121,W4241041842
W2041121121,W4243606456
