openalex_id,title,year,source,type,primary_topic,subfield,field,domain,doi,cited_by_count,num_referenced_works
W2037001540,"Auditory Display: Sonification, Audification, and Auditory Interfaces",1995,Computer Music Journal,article,Music Technology and Sound Studies,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,https://doi.org/10.2307/3680606,538,0
W2184854514,The Sonification Handbook,2011,,book,Hearing Loss and Rehabilitation,Cognitive Neuroscience,Neuroscience,Life Sciences,,578,33
W2056615497,The Information of Elementary Auditory Displays,1952,The Journal of the Acoustical Society of America,article,Noise Effects and Management,Speech and Hearing,Health Professions,Health Sciences,https://doi.org/10.1121/1.1906969,329,0
W2139598342,SONIFICATION SANDBOX: A GRAPHICAL TOOLKIT FOR AUDITORY GRAPHS,2003,,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,,96,6
W1963987467,Observation of sonified movements engages a basal ganglia frontocortical network,2013,BMC Neuroscience,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1186/1471-2202-14-32,85,73
W1499933681,An introduction to auditory display,1994,Medical Entomology and Zoology,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,,232,0
W2017967298,Navigation System for the Blind: Auditory Display Modes and Guidance,1998,PRESENCE Virtual and Augmented Reality,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1162/105474698565677,366,27
W2105118209,Testing the effectiveness of sonified graphs for education: A programmatic research project,2001,,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,,70,16
W2041121121,A Systematic Review of Mapping Strategies for the Sonification of Physical Quantities,2013,PLoS ONE,review,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1371/journal.pone.0082491,270,223
W2912596165,Auditory displays,2001,,book,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,,122,0
W2119480063,Mappings and metaphors in auditory displays,2005,ACM Transactions on Applied Perception,article,Multisensory perception and integration,Experimental and Cognitive Psychology,Psychology,Social Sciences,https://doi.org/10.1145/1101530.1101534,145,17
W1996318081,Sonified Infrared Spectra and Their Interpretation by Blind and Visually Impaired Students,2013,Journal of Chemical Education,article,Water Quality Monitoring Technologies,Water Science and Technology,Environmental Science,Physical Sciences,https://doi.org/10.1021/ed4000124,35,12
W2096042773,Auditory Displays for In-Vehicle Technologies,2011,Reviews of Human Factors and Ergonomics,article,Human-Automation Interaction and Safety,Social Psychology,Psychology,Social Sciences,https://doi.org/10.1177/1557234x11410396,101,203
W2104617690,Universal Design of Auditory Graphs,2010,ACM Transactions on Accessible Computing,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1145/1714458.1714459,86,29
W4241642870,The Information of Elementary Auditory Displays. II,1953,The Journal of the Acoustical Society of America,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1121/1.1907173,108,0
W2913521326,Using sonification,1999,Multimedia Systems,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1007/s005300050108,128,12
W1532335443,Sonification Abstraite/Sonification Concrète: An 'Aesthetic Perspective Space' for Classifying Auditory Displays in the Ars Musica Domain,2013,arXiv (Cornell University),preprint,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.48550/arxiv.1311.5426,45,18
W49218811,Browsing Modes For Exploring Sonified Line Graphs,2002,,article,Hermeneutics and Narrative Identity,Philosophy,Arts and Humanities,Social Sciences,,22,6
W4246406755,Information of Elementary Multidimensional Auditory Displays,1954,The Journal of the Acoustical Society of America,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1121/1.1907300,104,0
W314318557,Virtual Auditory Displays,2014,,book-chapter,Hearing Loss and Rehabilitation,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1201/b17360-11,77,1
W2001461756,Movement Sonification: Effects on Perception and Action,2005,IEEE Multimedia,article,Multisensory perception and integration,Experimental and Cognitive Psychology,Psychology,Social Sciences,https://doi.org/10.1109/mmul.2005.31,171,26
W2134314161,SONIFIED EPILEPTIC RHYTHMS,2006,,article,EEG and Brain-Computer Interfaces,Cognitive Neuroscience,Neuroscience,Life Sciences,,12,3
W2205103754,International Conference on Auditory Display 2002,2003,Computer Music Journal,article,Music Technology and Sound Studies,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,https://doi.org/10.1162/comj.2003.27.1.84,93,0
